,SALEDATE,PRICE
107237,2013-02-28,65000.0
107238,2006-11-01,223500.0
107239,2018-03-19,110000.0
107240,2006-12-26,169900.0
107241,2006-11-03,179900.0
107243,2007-01-11,209900.0
107244,2007-02-06,209900.0
107245,2010-11-12,75000.0
107246,2007-01-17,194900.0
107247,2007-01-31,210000.0
107248,2006-11-01,228400.0
107249,2011-03-04,45900.0
107250,2006-10-03,219900.0
107251,2015-12-30,60000.0
107252,2006-10-23,170900.0
107253,2006-11-03,189900.0
107254,2017-11-03,88180.0
107255,2018-01-10,105101.0
107256,2017-09-13,90000.0
107257,2013-04-24,41500.0
107258,2006-10-03,218400.0
107259,2007-03-22,190000.0
107260,2006-12-01,228400.0
107261,2011-07-25,50000.0
107262,2017-10-06,65000.0
107263,2008-05-14,179900.0
107264,2017-09-20,63140.0
107265,2017-06-26,52250.0
107266,2008-05-13,184900.0
107267,2007-11-06,194000.0
107268,2008-10-03,159900.0
107269,2008-09-03,166500.0
107270,2013-09-12,55000.0
107271,2008-03-25,195000.0
107272,2009-07-28,159900.0
107273,2008-12-30,169900.0
107274,2007-12-12,204000.0
107275,2008-02-04,175000.0
107276,2018-04-09,800000.0
107277,2009-01-06,159000.0
107278,2007-12-16,179900.0
107279,2008-11-20,155000.0
107280,2008-02-22,194900.0
107281,2008-03-06,184900.0
107282,2008-09-24,170000.0
107283,2008-04-03,190000.0
107284,2010-12-03,147000.0
107285,2018-04-09,800000.0
107286,2007-12-10,194900.0
107287,2007-11-07,170000.0
107288,2014-10-07,57143.0
107289,2018-05-11,60000.0
107290,2018-02-16,239389.0
107291,2007-12-16,184900.0
107292,2010-04-30,135000.0
107293,2018-04-09,800000.0
107294,2007-12-06,184900.0
107295,2007-11-21,189900.0
107296,2018-04-09,800000.0
107297,2018-04-09,800000.0
107301,2002-11-04,27600.0
107303,2001-03-05,35000.0
107304,2004-11-30,70000.0
107305,2016-08-26,39500.0
107307,2017-09-13,94901.0
107310,2006-07-05,155000.0
107312,2005-07-07,78000.0
107313,2007-01-03,176500.0
107314,1999-05-03,52500.0
107315,2018-04-30,70000.0
107316,1995-03-03,69900.0
107317,2017-12-29,75000.0
107318,2007-12-21,154500.0
107321,1997-11-26,82000.0
107323,2012-06-05,34900.0
107324,2005-03-04,97500.0
107326,2016-01-04,45000.0
107327,2007-10-23,153000.0
107328,2015-01-20,42500.0
