,BATHRM,HF_BATHRM,HEAT,AC,ROOMS,BEDRM,AYB,YR_RMDL,EYB,PRICE,QUALIFIED,SALE_NUM,FIREPLACES,USECODE,LANDAREA,LIVING_GBA,WARD,SalevYB,SalevYI
35346,2,0,2,1,5,2,1968.0,1968.0,1968,368000.0,1,1,0,17,275,989.0,2,43.0,43
35347,2,0,2,1,4,2,1968.0,1968.0,1968,552000.0,0,3,0,17,283,1016.0,2,49.0,49
35348,1,0,2,1,4,1,1968.0,1968.0,1968,290000.0,1,3,0,17,193,564.0,2,48.0,48
35349,1,1,2,1,5,2,1968.0,1968.0,1968,375000.0,0,1,0,17,331,1159.0,2,43.0,43
35350,2,0,2,1,4,2,1899.0,2013.0,1919,549000.0,0,1,0,17,550,817.0,0,115.0,95
35351,1,0,2,1,3,1,1899.0,2013.0,1919,395000.0,0,2,0,17,296,391.0,0,115.0,95
35352,2,0,2,1,4,2,1899.0,2013.0,1919,633000.0,0,2,0,17,507,656.0,0,117.0,97
35353,2,0,2,1,4,2,1899.0,2013.0,1919,645000.0,0,2,0,17,507,703.0,0,115.0,95
35354,3,1,2,1,5,3,1899.0,2013.0,1919,1675000.0,1,1,0,17,1396,1765.0,0,115.0,95
35355,2,0,2,1,4,2,1923.0,2009.0,1923,499000.0,0,3,0,17,357,751.0,0,94.0,94
35356,1,0,2,1,3,1,1923.0,2009.0,1923,310000.0,0,3,0,17,222,483.0,0,94.0,94
35357,1,0,2,1,3,1,1923.0,2009.0,1923,310000.0,0,1,0,17,253,567.0,0,86.0,86
35358,1,0,2,1,3,1,1923.0,2009.0,1923,358500.0,0,1,0,17,272,596.0,0,90.0,90
35359,1,0,2,1,3,1,1923.0,2009.0,1923,235625.0,0,1,0,17,239,529.0,0,86.0,86
35360,1,0,5,1,3,1,1923.0,2009.0,1923,177608.0,0,1,0,17,226,535.0,0,86.0,86
35361,1,0,2,1,4,2,1923.0,2009.0,1923,325000.0,0,1,0,17,320,740.0,0,86.0,86
35362,1,0,2,1,3,1,1923.0,2009.0,1923,314000.0,0,1,0,17,271,617.0,0,86.0,86
35363,1,0,5,1,3,1,1923.0,2009.0,1923,360000.0,0,3,0,17,253,567.0,0,93.0,93
35364,1,0,2,1,3,1,1923.0,2009.0,1923,314900.0,0,1,0,17,272,596.0,0,86.0,86
35365,1,0,2,1,3,1,1923.0,2009.0,1923,340000.0,0,1,0,17,239,529.0,0,90.0,90
35366,1,0,2,1,3,1,1923.0,2009.0,1923,355000.0,0,3,0,17,226,535.0,0,93.0,93
35367,1,0,2,1,4,2,1923.0,2009.0,1923,460000.0,0,1,0,17,320,740.0,0,90.0,90
35368,1,0,2,1,3,1,1923.0,2009.0,1923,282342.0,0,1,0,17,271,617.0,0,86.0,86
35369,1,0,2,1,3,1,1923.0,2009.0,1923,270215.0,0,1,0,17,253,567.0,0,86.0,86
35370,1,0,2,1,3,1,1923.0,2009.0,1923,222269.0,0,1,0,17,272,596.0,0,86.0,86
35371,1,0,2,1,3,1,1923.0,2009.0,1923,314900.0,0,1,0,17,239,529.0,0,86.0,86
35372,1,0,2,1,3,1,1923.0,2009.0,1923,355000.0,0,1,0,17,226,535.0,0,90.0,90
35373,1,0,2,1,3,1,1923.0,2009.0,1923,351350.0,0,1,0,17,320,740.0,0,86.0,86
35374,1,0,2,1,3,1,1923.0,2009.0,1923,339900.0,0,1,0,17,271,617.0,0,88.0,88
35375,1,0,2,1,3,1,1923.0,2009.0,1923,314900.0,0,1,0,17,253,567.0,0,86.0,86
35376,1,0,2,1,3,1,1923.0,2009.0,1923,285000.0,0,1,0,17,272,596.0,0,86.0,86
35377,1,0,2,1,3,1,1923.0,2009.0,1923,320000.0,0,1,0,17,239,529.0,0,86.0,86
35378,1,0,2,1,3,1,1923.0,2009.0,1923,219444.0,0,1,0,17,226,535.0,0,86.0,86
35379,1,0,2,1,4,2,1923.0,2009.0,1923,450000.0,0,2,0,17,320,740.0,0,94.0,94
35380,1,0,2,1,3,1,1923.0,2009.0,1923,385000.0,0,3,0,17,271,617.0,0,92.0,92
35381,3,0,2,1,5,3,1909.0,2015.0,1919,625500.0,0,1,0,16,603,1280.0,0,106.0,96
35382,2,0,2,1,4,2,1909.0,2015.0,1919,779900.0,0,1,0,16,556,1004.0,0,106.0,96
35383,2,0,2,1,4,2,1909.0,2015.0,1919,655900.0,0,1,0,16,556,1119.0,0,106.0,96
35384,1,0,2,1,3,1,1909.0,2015.0,1919,505000.0,0,2,0,16,371,668.0,0,108.0,98
35385,2,0,2,1,4,2,1909.0,2015.0,1919,707000.0,0,1,0,16,556,1038.0,0,106.0,96
